sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s029,main29_s029_o174,49,front,39.8,42.820064301408394,39.80000000000001,-39.80000000000001,-3.0200643014083823,-82.6200643014084,3.0200643014083823,82.6200643014084,keep,39.80000000000001,3.0200643014083823,79.60000000000002,True,accept_keep
main29_s029,main29_s029_o175,50,front,29.5,35.62893182719975,29.5,-29.5,-6.12893182719975,-65.12893182719975,6.12893182719975,65.12893182719975,keep,29.5,6.12893182719975,59.0,True,accept_keep
main29_s029,main29_s029_o176,51,front,18.1,23.61768720926662,18.099999999999994,-18.099999999999994,-5.517687209266626,-41.717687209266614,5.517687209266626,41.717687209266614,keep,18.099999999999994,5.517687209266626,36.19999999999999,True,accept_keep
main29_s029,main29_s029_o178,58,rear,-55.9,-54.12365837617244,-55.900000000000006,55.900000000000006,-1.7763416238275624,110.02365837617242,1.7763416238275624,110.02365837617242,keep,-55.900000000000006,1.7763416238275624,108.24731675234486,True,accept_keep
repeat10_s001,repeat10_s001_o002,37,front,18.9,21.238335498611946,18.900000000000006,-18.900000000000006,-2.33833549861194,-40.13833549861195,2.33833549861194,40.13833549861195,keep,18.900000000000006,2.33833549861194,37.80000000000001,True,accept_keep
repeat10_s001,repeat10_s001_o005,45,rear,8.1,16.573432734299786,8.099999999999994,-8.099999999999994,-8.473432734299791,-24.67343273429978,8.473432734299791,24.67343273429978,keep,8.099999999999994,8.473432734299791,16.19999999999999,True,accept_keep
repeat10_s002,repeat10_s002_o007,46,front,8.9,-9.00008234103717,8.900000000000006,-8.900000000000006,17.900082341037177,0.10008234103716518,17.900082341037177,0.10008234103716518,flip,-8.900000000000006,0.10008234103716518,17.80000000000001,True,accept_flip
repeat10_s002,repeat10_s002_o008,47,front,-22.4,-22.13638092774255,-22.400000000000006,22.400000000000006,-0.2636190722574554,44.536380927742556,0.2636190722574554,44.536380927742556,keep,-22.400000000000006,0.2636190722574554,44.2727618554851,True,accept_keep
repeat10_s002,repeat10_s002_o009,48,front,-34.4,-33.15976462961845,-34.400000000000006,34.400000000000006,-1.240235370381555,67.55976462961846,1.240235370381555,67.55976462961846,keep,-34.400000000000006,1.240235370381555,66.3195292592369,True,accept_keep
repeat10_s002,repeat10_s002_o010,39,rear,-15.6,-15.127905597036715,-15.599999999999994,15.599999999999994,-0.472094402963279,30.72790559703671,0.472094402963279,30.72790559703671,keep,-15.599999999999994,0.472094402963279,30.25581119407343,True,accept_keep
repeat10_s003,repeat10_s003_o012,45,front,-41.3,38.682801173171754,-41.30000000000001,41.30000000000001,-79.98280117317177,2.6171988268282576,79.98280117317177,2.6171988268282576,flip,41.30000000000001,2.6171988268282576,77.36560234634351,True,accept_flip
